train_loss,train_mse,train_mae,train_r2,train_e_mse,train_e_mae,train_e_r2,train_e_x_mse,train_e_x_mae,train_e_y_mse,train_e_x_r2,train_e_y_mae,train_e_y_r2,train_e_z_mse,train_e_z_mae,train_e_z_r2,train_p_mse,train_p_mae,train_p_r2,train_p_x_mse,train_p_x_mae,train_p_x_r2,train_p_y_mse,train_p_y_mae,train_p_y_r2,train_p_z_mse,train_p_z_mae,train_p_z_r2,train_p_t_mae,train_p_t_mse,train_p_t_r2,val_loss,val_mse,val_mae,val_r2,val_e_mse,val_e_mae,val_e_r2,val_e_x_mse,val_e_x_mae,val_e_y_mse,val_e_x_r2,val_e_y_mae,val_e_y_r2,val_e_z_mse,val_e_z_mae,val_e_z_r2,val_p_mse,val_p_mae,val_p_r2,val_p_x_mse,val_p_x_mae,val_p_x_r2,val_p_y_mse,val_p_y_mae,val_p_y_r2,val_p_z_mse,val_p_z_mae,val_p_z_r2,val_p_t_mae,val_p_t_mse,val_p_t_r2
0.03639114223476208,0.18707566492589314,-0.01526593702197194,0.9061070373140345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934005486725358,0.18707566492589314,0.9061070373140345,0.03571704181660951,0.18119012297436535,-0.012635913662375195,0.9092617790750953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6937827555838749,0.18119012297436535,0.9092617790750953
0.035788621694391676,0.1819769243466115,-0.01507308387328972,0.9086660870342819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931997350221346,0.1819769243466115,0.9086660870342819,0.03577980560176588,0.18130072391405655,0.04943737422953744,0.9092063892129101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6976552641687206,0.18130072391405655,0.9092063892129101
0.03580502159201587,0.18213323809080634,-0.015034732940868777,0.9085876335093906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931267031442143,0.18213323809080634,0.9085876335093906,0.03620272595288492,0.18133418307445118,-0.024930107595925902,0.9091896348210233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692612864001888,0.18133418307445118,0.9091896348210233
0.036007959598656825,0.18392459718629134,-0.015035252476685764,0.9076885529921633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931672789365184,0.18392459718629134,0.9076885529921633,0.040145868158525506,0.18581714207689679,-0.05687186545534921,0.9069446133528862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6943542966442695,0.18581714207689679,0.9069446133528863
0.03595224803961405,0.18352808998940795,-0.015219416952097487,0.9078875595210033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931099099731021,0.18352808998940795,0.9078875595210033,0.03573552514501709,0.18128479153505733,-0.01103664715529915,0.9092143696849736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6918852546285856,0.18128479153505733,0.9092143696849735
0.0358038448936402,0.18223502362717156,-0.015348691473751647,0.9085365468428211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6929722620677993,0.18223502362717156,0.9085365468428211,0.036488295479910005,0.18227639824187286,0.030563982025533107,0.9087177828141745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6964476348849155,0.18227639824187286,0.9087177828141744
0.03570441421331756,0.1813471052292434,-0.014903536402086432,0.9089821901587971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6930200987235424,0.1813471052292434,0.9089821901587971,0.03775905898048944,0.18332791072754986,0.0030390826169731234,0.9081911940659806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6946533456029756,0.18332791072754986,0.9081911940659807
0.03628924705481969,0.18649908026160583,-0.015450441286858041,0.9063964261223872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6929479769988532,0.18649908026160583,0.9063964261223872,0.035674636290813494,0.1810541706118803,0.0029387970955388437,0.9093298625516685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6945011519555948,0.1810541706118803,0.9093298625516685
0.036090413823836855,0.18412057715417915,-0.015286925123589569,0.9075901910157559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692824772732748,0.18412057715417915,0.9075901910157559,0.06503521592584736,0.2129564460413959,-0.023471076862633097,0.893353520304877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6929212858754438,0.2129564460413959,0.8933535203048771
0.035816032379214956,0.18258606114297876,-0.013840013980731286,0.908360361739246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6920194462827437,0.18258606114297876,0.908360361739246,0.035563550716376784,0.18044823453688932,-0.00816546822868798,0.9096333111557919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6924063062978862,0.18044823453688932,0.909633311155792
0.03550511576059423,0.18017668738606704,-0.014971419158352386,0.9095696209425769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6912931457260519,0.18017668738606704,0.9095696209425769,0.035570094900735615,0.1806643980246885,-0.034074732694708454,0.9095250548261692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6919444732060636,0.1806643980246885,0.9095250548261692
0.03552806296906647,0.18039327625824583,-0.015137289172803535,0.9094609150359162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6913576227807554,0.18039327625824583,0.9094609150359162,0.03562514790387898,0.18062879779143645,-0.021491972471545176,0.9095428831684158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6918049884169896,0.18062879779143645,0.9095428831684157
0.03551619533270436,0.1802847390429875,-0.015158261642343435,0.9095153934429151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69126488748398,0.1802847390429875,0.9095153934429151,0.03555020382652973,0.18061476170775068,-0.018441675371908484,0.9095499142273589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6920122581722505,0.18061476170775068,0.9095499142273589
0.03549359622394506,0.18013001781088891,-0.015082419365217953,0.9095930460803188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6912894306482424,0.18013001781088891,0.9095930460803188,0.03651317381475083,0.1816434970662074,-0.021828828136427825,0.9090347317515465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6919629964106829,0.1816434970662074,0.9090347317515466
0.03547506347048314,0.1799683545981508,-0.014719881097590889,0.9096741865999045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6912962329265911,0.1799683545981508,0.9096741865999045,0.03587356227987841,0.18082468107789065,-0.01284401754667546,0.9094447867906236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6924260519932968,0.18082468107789065,0.9094447867906235
